configuration,guideline_id,avg_disappearance_iteration
C1,G1,2.342541436464088
C1,G5,2.3333333333333335
C1,G6,2.2666666666666666
C1,G2,2.25531914893617
C1,G13,2.215909090909091
C1,G9,2.189189189189189
C1,G3,2.088235294117647
C1,G10,2.0
C1,G12,2.0
C1,G14,2.0
C1,G15,2.0
C1,G7,2.0
C1,G8,2.0
C2,G3,2.2
C2,G1,2.1232876712328768
C2,G2,2.0714285714285716
C2,G13,2.0526315789473686
C2,G15,2.0
C2,G6,2.0
C2,G7,2.0
C3,G9,2.1052631578947367
C3,G3,2.088235294117647
C3,G1,2.085227272727273
C3,G13,2.0795454545454546
C3,G6,2.064516129032258
C3,G2,2.0350877192982457
C3,G10,2.0
C3,G12,2.0
C3,G14,2.0
C3,G15,2.0
C3,G5,2.0
C3,G7,2.0
C3,G8,2.0
C4,G1,2.204081632653061
C4,G2,2.1904761904761907
C4,G13,2.0941176470588236
C4,G15,2.0
C4,G3,2.0
C4,G6,2.0
C4,G9,2.0
C5,G1,4.551724137931035
C5,G2,2.783333333333333
C5,G10,2.625
C5,G5,2.5
C5,G9,2.423076923076923
C5,G13,2.391891891891892
C5,G6,2.341463414634146
C5,G3,2.3392857142857144
C5,G11,2.0
C5,G12,2.0
C5,G14,2.0
C5,G15,2.0
C5,G4,2.0
C5,G7,2.0
C5,G8,2.0
C6,G6,3.0
C6,G2,2.967741935483871
C6,G1,2.925
C6,G3,2.909090909090909
C6,G13,2.72972972972973
C6,G15,2.4285714285714284
C6,G10,2.0
C6,G4,2.0
C6,G5,2.0
C7,G1,2.3202247191011236
C7,G3,2.305084745762712
C7,G6,2.28125
C7,G2,2.25
C7,G9,2.2285714285714286
C7,G15,2.1666666666666665
C7,G13,2.0933333333333333
C7,G10,2.0
C7,G12,2.0
C7,G14,2.0
C7,G4,2.0
C7,G5,2.0
C7,G7,2.0
C7,G8,2.0
C8,G3,2.090909090909091
C8,G2,2.015151515151515
C8,G1,2.0127388535031847
C8,G13,2.0
C8,G14,2.0
C8,G15,2.0
C8,G6,2.0
C8,G7,2.0
