configuration,num_prompts,avg_total_violations,sum_total_violations,median_total_violations,avg_iterations,median_iterations,max_iterations,final_safe_rate
C1,262,2.3702290076335877,621,2.0,2.2022900763358777,2.0,9,100.0
C2,262,0.8435114503816794,221,0.0,1.366412213740458,1.0,5,100.0
C3,262,2.3396946564885495,613,2.0,2.1068702290076335,2.0,40,100.0
C4,262,1.5190839694656488,398,2.0,1.7633587786259541,2.0,5,100.0
C5,262,6.729007633587786,1763,3.0,4.034351145038168,2.0,144,100.0
C6,262,1.6984732824427482,445,0.0,1.7404580152671756,1.0,10,100.0
C7,262,2.5763358778625953,675,2.0,2.1526717557251906,2.0,7,100.0
C8,262,1.4045801526717556,368,2.0,1.6984732824427482,2.0,3,100.0
